mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7657986164093018,0.06754937245812129,0.015206336975097656,0.009060864672635864,0.05,10,300,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 300}",0.7894736842105263,0.9473684210526315,0.8,0.8947368421052632,1.0,0.8863157894736844,0.08191611140355248,14
0.2989987850189209,0.06710602867124955,0.012599039077758788,0.004502682073417268,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.7894736842105263,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8868421052631579,0.09832390364352317,5
0.5667998313903808,0.1142425779398409,0.01680436134338379,0.004442439399150192,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.7894736842105263,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8868421052631579,0.09832390364352317,5
0.8057974338531494,0.08178740024856875,0.01740398406982422,0.004416598523635592,0.01,3,300,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",0.7894736842105263,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8868421052631579,0.09832390364352317,5
0.3458260536193848,0.05695423187508746,0.011199569702148438,0.004353921274059391,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.7894736842105263,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8868421052631579,0.09832390364352317,5
0.75019850730896,0.1383944591170222,0.015603113174438476,0.00700372459654043,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.7894736842105263,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8868421052631579,0.09832390364352317,5
1.0720026016235351,0.08764929803373943,0.013596916198730468,0.0017514197962022575,0.01,5,300,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}",0.7894736842105263,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8868421052631579,0.09832390364352317,5
0.34600210189819336,0.021939768063880805,0.008794546127319336,0.001722594848430266,0.01,10,100,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",0.7894736842105263,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8868421052631579,0.09832390364352317,5
0.8112088203430176,0.1681138617044142,0.014392662048339843,0.005342746360524165,0.01,10,200,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200}",0.7894736842105263,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8868421052631579,0.09832390364352317,5
1.0719958305358888,0.11482339760193237,0.014803314208984375,0.002135184569494736,0.01,10,300,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 300}",0.7894736842105263,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8868421052631579,0.09832390364352317,5
